Journal of Neural Transmission,paper_titles,ISSN,eISSN,Impact_factor
2269,The Journal of Prevention of Alzheimer's Disease,,,6.4 (2022)
2270,The Journal of Real Estate Finance and Economics,0895-5638,1573-045X,1.9 (2022)
2271,The Journal of Supercomputing,0920-8542,1573-0484,3.3 (2022)
2272,The Journal of Sustainable Product Design,,,
2273,The Journal of Technology Transfer,0892-9912,1573-7047,4.8 (2022)
2274,The Journal of Value Inquiry,0022-5363,1573-0492,0.4 (2022)
2275,The Journal of the Astronautical Sciences,,,1.8 (2022)
2276,The Mathematical Intelligencer,0343-6993,1866-7414,0.4 (2022)
2277,The Nucleus,0029-568X,0976-7975,1.8 (2022)
2278,The Patient - Patient-Centered Outcomes Research,1178-1653,1178-1661,3.6 (2022)
2279,The Protein Journal,1572-3887,1875-8355,3.0 (2022)
2280,The Psychological Record,0033-2933,2163-3452,1.3 (2022)
2281,The Quarterly Journal of Austrian Economics,,,
2282,The Ramanujan Journal,1382-4090,1572-9303,0.7 (2022)
2283,The Review of Austrian Economics,0889-3047,1573-7128,0.7 (2022)
2284,The Review of Black Political Economy,,,
2285,The Review of International Organizations,1559-7431,1559-744X,3.9 (2022)
2286,The Review of Socionetwork Strategies,,,1.3 (2022)
2287,The Science of Nature,0028-1042,1432-1904,1.8 (2022)
2288,The Ultrasound Journal,,,
2289,The Urban Review,0042-0972,1573-1960,8 days
2290,The VLDB Journal,1066-8888,0949-877X,4.2 (2022)
2291,The Visual Computer,0178-2789,1432-2315,3.5 (2022)
2292,"The journal of nutrition, health & aging",,,5.8 (2022)
2293,Theoretical Biology and Medical Modelling,,,
2294,Theoretical Chemistry Accounts,1432-881X,1432-2234,1.7 (2022)
2295,Theoretical Ecology,,,1.6 (2022)
2296,Theoretical Foundations of Chemical Engineering,0040-5795,1608-3431,0.8 (2022)
2297,Theoretical Medicine and Bioethics,1386-7415,1573-1200,1.4 (2022)
2298,Theoretical and Applied Climatology,0177-798X,1434-4483,3.4 (2022)
2299,Theoretical and Applied Genetics,0040-5752,1432-2242,5.4 (2022)
2300,Theoretical and Computational Fluid Dynamics,0935-4964,1432-2250,3.4 (2022)
2301,Theoretical and Experimental Chemistry,0040-5760,1573-935X,1.0 (2022)
2302,Theoretical and Experimental Plant Physiology,,,2.6 (2022)
2303,Theoretical and Mathematical Physics,0040-5779,1573-9333,1.0 (2022)
2304,Theory and Decision,0040-5833,1573-7187,0.8 (2022)
2305,Theory and Society,0304-2421,1573-7853,2.9 (2022)
2306,Theory in Biosciences,1431-7613,1611-7530,1.1 (2022)
2307,Theory of Computing Systems,1432-4350,1433-0490,0.5 (2022)
2308,Therapeutic Innovation & Regulatory Science,2168-4790,2168-4804,1.5 (2022)
2309,Thermal Engineering,0040-6015,1555-6301,0.5 (2022)
2310,Thermophysics and Aeromechanics,,,0.5 (2022)
2311,Thrombosis Journal,,,
2312,Thyroid Research,,,
2313,Tijdschrift voor Gerontologie en Geriatrie,,,
2314,Tijdschrift voor GezondheidsRecht,,,
2315,Tijdschrift voor Kindergeneeskunde,,,
2316,Tijdschrift voor Medisch Onderwijs,,,
2317,Tijdschrift voor Neuropsychiatrie en Gedragsneurologie,,,
2318,Tijdschrift voor ouderengeneeskunde,,,
2319,Tijdschrift voor Psychotherapie,,,
2320,Tijdschrift voor Urologie,2211-3037,2211-4718,29 days
2321,Tissue Engineering and Regenerative Medicine,,,3.6 (2022)
2322,Tobacco Induced Diseases,,,
2323,Topics in Catalysis,1022-5528,1572-9028,3.6 (2022)
2324,Topics in Current Chemistry,,,8.6 (2022)
2325,Topoi,0167-7411,1572-8749,1.4 (2022)
2326,Toxicological Research,1976-8257,2234-2753,2.3 (2022)
2327,Toxicological Reviews,,,
2328,Toxicology and Environmental Health Sciences,2005-9752,2233-7784,1.7 (2022)
2329,Trabajos de estadística,,,
2330,Trabajos de estadística y de investigación operativa,,,
2331,Trabajos de investigación operativa,,,
2332,Transactions of Tianjin University,1006-4982,1995-8196,7.1 (2022)
2333,Transactions of the Indian Institute of Metals,0972-2815,0975-1645,1.6 (2022)
2334,Transactions of the Indian National Academy of Engineering,2662-5415,2662-5423,16 days
2335,Transactions of the Royal Academy of Medicine in Ireland,,,
2336,Transactions on Electrical and Electronic Materials,1229-7607,2092-7592,1.9 (2022)
2337,Transformation Groups,1083-4362,1531-586X,0.7 (2022)
2338,Transgenic Research,0962-8819,1573-9368,3.0 (2022)
2339,Transition Metal Chemistry,0340-4285,1572-901X,1.7 (2022)
2340,Transition Studies Review,,,
2341,Translational Behavioral Medicine,,,
2342,Translational Medicine Communications,,,
2343,Translational Neurodegeneration,,,
2344,Translational Neuroscience,,,
2345,Translational Respiratory Medicine,,,
2346,Translational Stroke Research,1868-4483,1868-601X,6.9 (2022)
2347,Transplant International,,,
2348,Transplantation Research,,,
2349,Transport in Porous Media,0169-3913,1573-1634,2.7 (2022)
2350,Transportation,0049-4488,1572-9435,4.3 (2022)
2351,Transportation Infrastructure Geotechnology,2196-7202,2196-7210,4 days
2352,Transportation in Developing Economies,2199-9287,2199-9295,1.6 (2022)
2353,Trauma und Berufskrankheit,,,
2354,Treatments in Endocrinology,,,
2355,Treatments in Respiratory Medicine,,,
2356,Tree Genetics & Genomes,,,2.4 (2022)
2357,Trees,0931-1890,1432-2285,2.3 (2022)
2358,Trends in Organized Crime,1084-4791,1936-4830,1.7 (2022)
2359,Trends in Psychology,,,15 days
2360,Trials,,,
2361,Tribology Letters,1023-8883,1573-2711,3.2 (2022)
2362,Triple Helix,,,
2363,Tropical Animal Health and Production,0049-4747,1573-7438,1.7 (2022)
2364,"Tropical Diseases, Travel Medicine and Vaccines",,,
2365,Tropical Ecology,0564-3295,2661-8982,1.6 (2022)
2366,Tropical Medicine and Health,,,
2367,Tropical Plant Biology,,,2.0 (2022)
2368,Tropical Plant Pathology,,,2.5 (2022)
2369,Tropical Technology Journal,,,
2370,Tumor Biology,,,
2371,Tungsten,2661-8028,2661-8036,6.6 (2022)
2372,TvPO,2666-9838,2666-9846,"47,591 (2022)"
2373,TvV Tijdschrift voor Verzorgenden,0921-5832,2468-1350,"35,659 (2022)"
2374,Türk Fizyoterapi ve Rehabilitasyon Dergisi/Turkish Journal of Physiotherapy and Rehabilitation,,,
2375,PARS-Mitteilungen,,,
2376,"PFG – Journal of Photogrammetry, Remote Sensing and Geoinformation Science",2512-2789,2512-2819,4.1 (2022)
2377,PMC Biophysics,,,
2378,PMC Physics A,,,
2379,PMC Physics B,,,
2380,PROSPECTS,0033-1538,1573-9090,19 days
2381,PSN,,,
2382,Pacific Journal of Mathematics for Industry,,,
2383,Paddy and Water Environment,1611-2490,1611-2504,2.2 (2022)
2384,Pain and Therapy,2193-8237,2193-651X,4.0 (2022)
2385,PalZ,0031-0220,1867-6812,1.8 (2022)
2386,Paladyn,,,
2387,Palaeobiodiversity and Palaeoenvironments,1867-1594,1867-1608,1.4 (2022)
2388,Paleontological Journal,0031-0301,1555-6174,0.6 (2022)
2389,Pallium,1389-2630,1875-7049,"29,405 (2021)"
2390,Papers in Regional Science,,,
2391,Parasites & Vectors,,,
2392,Parasitology Research,0932-0113,1432-1955,2.0 (2022)
2393,Partial Differential Equations and Applications,2662-2963,2662-2971,9 days
2394,Particle and Fibre Toxicology,,,
2395,Pastoral Psychology,0031-2789,1573-6679,0.8 (2022)
2396,Pastoralism,,,
2397,PathoGenetics,,,
2398,Pathology & Oncology Research,,,
2399,Patient Safety in Surgery,,,
2400,Pattern Analysis and Applications,1433-7541,1433-755X,3.9 (2022)
2401,Pattern Recognition and Image Analysis,1054-6618,1555-6212,1.0 (2022)
2402,Pediatric Cardiology,0172-0643,1432-1971,1.6 (2022)
2403,Pediatric Drugs,1174-5878,1179-2019,3.7 (2022)
2404,Pediatric Nephrology,0931-041X,1432-198X,3.0 (2022)
2405,Pediatric Radiology,,,2.3 (2022)
2406,Pediatric Rheumatology,,,
2407,Pediatric Surgery International,,,1.8 (2022)
2408,Pediatric and Developmental Pathology,,,
2409,Peer-to-Peer Networking and Applications,1936-6442,1936-6450,4.2 (2022)
2410,Peking Mathematical Journal,2096-6075,2524-7182,7 days
2411,Pelvi-périnéologie,,,
2412,Pensions: An International Journal,,,
2413,PerinatalMedizin,,,
2414,Periodica Mathematica Hungarica,0031-5303,1588-2829,0.8 (2022)
2415,Perioperative Medicine,,,
2416,Personal and Ubiquitous Computing,1617-4909,1617-4917,6 days
2417,Perspectives in Drug Discovery and Design,,,
2418,Perspectives on Behavior Science,2520-8969,2520-8977,2.0 (2022)
2419,Perspectives on Medical Education,,,
2420,Petroleum Chemistry,0965-5441,1555-6239,1.4 (2022)
2421,Petroleum Geology & Experiment,,,
2422,Petroleum Science,,,
2423,Petrology,0869-5911,1556-2085,1.5 (2022)
2424,Pflegezeitschrift,0945-1129,2520-1816,"276,247 (2022)"
2425,Pflügers Archiv - European Journal of Physiology,0031-6768,1432-2013,4.5 (2022)
2426,Pharmaceutical & Diagnostic Innovation,,,
2427,Pharmaceutical Chemistry Journal,0091-150X,1573-9031,0.9 (2022)
2428,Pharmaceutical Development and Regulation,,,
2429,Pharmaceutical Medicine,1178-2595,1179-1993,2.5 (2022)
2430,Pharmaceutical Research,0724-8741,1573-904X,3.7 (2022)
2431,PharmacoEconomics,1170-7690,1179-2027,4.4 (2022)
2432,PharmacoEconomics & Outcomes News,,,
2433,PharmacoEconomics - Open,2509-4262,2509-4254,2.0 (2022)
2434,PharmacoEconomics German Research Articles,,,
2435,PharmacoEconomics Italian Research Articles,,,
2436,PharmacoEconomics Spanish Research Articles,,,
2437,Pharmacological Reports,1734-1140,2299-5684,4.4 (2022)
2438,Phenomenology and the Cognitive Sciences,1568-7759,1572-8676,2.3 (2022)
2439,Phenomics,2730-583X,2730-5848,11 days
2440,Philosophia,0048-3893,1574-9274,0.5 (2022)
2441,Philosophical Studies,0031-8116,1573-0883,1.3 (2022)
2442,Philosophy & Technology,2210-5433,2210-5441,12 days
2443,Philosophy of Management,1740-3812,2052-9597,1.2 (2022)
2444,"Philosophy, Ethics, and Humanities in Medicine",,,
2445,Photochemical & Photobiological Sciences,,,3.1 (2022)
2446,PhotoniX,,,
2447,Photonic Network Communications,1387-974X,1572-8188,1.7 (2022)
2448,Photosynthesis Research,0166-8595,1573-5079,3.7 (2022)
2449,Photosynthetica,,,
2450,Physical Mesomechanics,1029-9599,1990-5424,1.6 (2022)
2451,Physical Oceanography,,,
2452,Physical and Engineering Sciences in Medicine,2662-4729,2662-4737,4.4 (2022)
2453,Physics and Chemistry of Minerals,0342-1791,1432-2021,1.4 (2022)
2454,Physics in Perspective,1422-6944,1422-6960,0.4 (2022)
2455,Physics of Atomic Nuclei,1063-7788,1562-692X,0.4 (2022)
2456,Physics of Metals and Metallography,0031-918X,1555-6190,1.2 (2022)
2457,Physics of Particles and Nuclei,1063-7796,1531-8559,0.4 (2022)
2458,Physics of Particles and Nuclei Letters,1547-4771,1531-8567,0.5 (2022)
2459,Physics of Wave Phenomena,1541-308X,1934-807X,1.4 (2022)
2460,Physics of the Solid State,1063-7834,1090-6460,0.6 (2022)
2461,Physiology and Molecular Biology of Plants,0971-5894,0974-0430,3.5 (2022)
2462,Phytochemistry Reviews,1568-7767,1572-980X,7.7 (2022)
2463,Phytoparasitica,0334-2123,1876-7184,1.4 (2022)
2464,Phytopathology Research,,,
2465,Phytothérapie,,,
2466,Pilot and Feasibility Studies,,,
2467,Pituitary,1386-341X,1573-7403,3.8 (2022)
2468,Planetary Science,,,
2469,Plant Biotechnology Reports,1863-5466,1863-5474,2.4 (2022)
2470,Plant Cell Reports,0721-7714,1432-203X,6.2 (2022)
2471,"Plant Cell, Tissue and Organ Culture (PCTOC)",0167-6857,1573-5044,3.0 (2022)
2472,Plant Ecology,1385-0237,1573-5052,1.7 (2022)
2473,Plant Foods for Human Nutrition,0921-9668,1573-9104,4.0 (2022)
2474,Plant Growth Regulation,0167-6903,1573-5087,4.2 (2022)
2475,Plant Methods,,,
2476,Plant Molecular Biology,0167-4412,1573-5028,5.1 (2022)
2477,Plant Molecular Biology Reporter,0735-9640,1572-9818,2.1 (2022)
2478,Plant Physiology Reports,2662-253X,2662-2548,1.7 (2022)
2479,Plant Reproduction,2194-7953,2194-7961,3.4 (2022)
2480,Plant Systematics and Evolution,0378-2697,1615-6110,1.9 (2022)
2481,Plant and Soil,0032-079X,1573-5036,4.9 (2022)
2482,Planta,0032-0935,1432-2048,4.3 (2022)
2483,Plasma Chemistry and Plasma Processing,0272-4324,1572-8986,3.6 (2022)
2484,Plasma Physics Reports,1063-780X,1562-6938,1.1 (2022)
2485,Plasmas and Polymers,,,
2486,Plasmonics,1557-1955,1557-1963,3.0 (2022)
2487,Pneumo News,1865-5467,2199-3866,"109,836 (2022)"
2488,Pneumonia,,,
2489,PodoPost,0922-4742,1876-5823,"20,242 (2022)"
2490,Podosophia,0929-5380,1876-5815,"2,999 (2022)"
2491,Poiesis & Praxis,,,
2492,Polar Biology,0722-4060,1432-2056,1.7 (2022)
2493,Policy Sciences,0032-2687,1573-0891,5.3 (2022)
2494,Political Behavior,0190-9320,1573-6687,3.9 (2022)
2495,Politische Vierteljahresschrift,0032-3470,1862-2860,1.3 (2022)
2496,Polity,,,
2497,Polymer Bulletin,0170-0839,1436-2449,3.2 (2022)
2498,"Polymer Science, Series A",0965-545X,1555-6107,1.0 (2022)
2499,"Polymer Science, Series B",1560-0904,1555-6123,1.2 (2022)
2500,"Polymer Science, Series C",1811-2382,1555-614X,2.2 (2022)
2501,"Polymer Science, Series D",1995-4212,1995-4220,"9,479 (2022)"
2502,Polytechnica,2520-8497,2520-8063,38 days
2503,Population Ecology,,,
2504,Population Health Metrics,,,
2505,Population Research and Policy Review,0167-5923,1573-7829,2.4 (2022)
2506,Population Trends,,,
2507,Population and Environment,0199-0039,1573-7810,3.3 (2022)
2508,Porcine Health Management,,,
2509,Portuguese Economic Journal,1617-982X,1617-9838,1.3 (2022)
2510,Positivity,1385-1292,1572-9281,1.0 (2022)
2511,Postdigital Science and Education,2524-485X,2524-4868,5 days
2512,Potato Research,,,2.9 (2022)
2513,Potential Analysis,0926-2601,1572-929X,1.1 (2022)
2514,Powder Metallurgy and Metal Ceramics,1068-1302,1573-9066,1.0 (2022)
2515,Power Technology and Engineering,1570-145X,1570-1468,"9,415 (2022)"
2516,Praktische Huisartsgeneeskunde,,,
2517,Pramana,,,2.8 (2022)
2518,Precision Agriculture,1385-2256,1573-1618,6.2 (2022)
2519,Prevention Science,1389-4986,1573-6695,3.5 (2022)
2520,Primates,0032-8332,1610-7365,1.7 (2022)
2521,ProCare,0949-7323,1613-7574,"123,360 (2022)"
2522,ProMed komplementär,,,
2523,Probability Theory and Related Fields,0178-8051,1432-2064,2.0 (2022)
2524,"Probability, Uncertainty and Quantitative Risk",,,
2525,Probiotics and Antimicrobial Proteins,,,4.9 (2022)
2526,Problems of Information Transmission,0032-9460,1608-3253,1.2 (2022)
2527,Proceedings - Mathematical Sciences,,,0.3 (2022)
2528,Proceedings: Plant Sciences,,,
2529,Proceedings of the Indian National Science Academy,0370-0046,2454-9983,0.9 (2022)
2530,"Proceedings of the National Academy of Sciences, India Section A: Physical Sciences",0369-8203,2250-1762,0.9 (2022)
2531,"Proceedings of the National Academy of Sciences, India Section B: Biological Sciences",0369-8211,2250-1746,41 days
2532,Proceedings of the Steklov Institute of Mathematics,0081-5438,1531-8605,0.5 (2022)
2533,Proceedings of the Zoological Society,0373-5893,0974-6919,18 days
2534,Proceedings: Animal Sciences,,,
2535,Process Integration and Optimization for Sustainability,2509-4238,2509-4246,2.4 (2022)
2536,Production Engineering,0944-6524,1863-7353,1.7 (2022)
2537,Programming and Computer Software,0361-7688,1608-3261,0.7 (2022)
2538,Progress in Additive Manufacturing,2363-9512,2363-9520,15 days
2539,Progress in Artificial Intelligence,2192-6352,2192-6360,4.2 (2022)
2540,Progress in Biomaterials,,,4.9 (2022)
2541,Progress in Earth and Planetary Science,,,
2542,Progress in Orthodontics,,,
2543,Progress in STEM CELL,,,
2544,Protection and Control of Modern Power Systems,,,
2545,Protection of Metals and Physical Chemistry of Surfaces,2070-2051,2070-206X,1.1 (2022)
2546,Protein & Cell,1674-800X,1674-8018,21.1 (2022)
2547,Proteome,,,
2548,Proteome Science,,,
2549,Protoplasma,0033-183X,1615-6102,2.9 (2022)
2550,Prävention und Gesundheitsförderung,1861-6755,1861-6763,0.9 (2022)
2551,Psicologia: Reflexão e Crítica,,,
2552,Psychiatric Quarterly,0033-2720,1573-6709,3.5 (2022)
2553,Psychiatrie und Psychotherapie,,,
2554,Psycho-Oncologie,,,
2555,Psychobiology,,,
2556,Psychological Injury and Law,1938-971X,1938-9728,3.1 (2022)
2557,Psychological Research,0340-0727,1430-2772,2.3 (2022)
2558,Psychological Studies,0033-2968,0974-9861,1.3 (2022)
2559,Psychologie & gezondheid,,,
2560,Psychology of Well-Being,,,
2561,Psychometrika,0033-3123,1860-0980,3.0 (2022)
2562,Psychonomic Bulletin & Review,1069-9384,1531-5320,3.5 (2022)
2563,Psychonomic Science,,,
2564,Psychopharmacology,0033-3158,1432-2072,3.4 (2022)
2565,Psychopraktijk,,,
2566,Psychopraxis,,,
2567,Psychosomatik und Konsiliarpsychiatrie,,,
2568,Psychotherapie Forum,0943-1950,1613-7604,"139,803 (2022)"
2569,Public Choice,0048-5829,1573-7101,1.6 (2022)
2570,Public Health Reviews,,,
2571,Public Organization Review,1566-7170,1573-7098,1.9 (2022)
2572,ROBOMECH Journal,,,
2573,Race and Social Problems,1867-1748,1867-1756,3.1 (2022)
2574,Radiation Detection Technology and Methods,2509-9930,2509-9949,0.6 (2022)
2575,Radiation Oncology,,,
2576,Radiation and Environmental Biophysics,0301-634X,1432-2099,1.7 (2022)
2577,Radiochemistry,1066-3622,1608-3288,0.9 (2022)
2578,Radioelectronics and Communications Systems,0735-2727,1934-8061,"4,943 (2022)"
2579,Radiological Physics and Technology,1865-0333,1865-0341,1.6 (2022)
2580,Radiophysics and Quantum Electronics,0033-8443,1573-9120,0.8 (2022)
2581,Railway Engineering Science,2662-4745,2662-4753,6.3 (2022)
2582,Rare Metals,1001-0521,1867-7185,8.8 (2022)
2583,Raumforschung und Raumordnung | Spatial Research and Planning,,,
2584,"Reaction Kinetics, Mechanisms and Catalysis",1878-5190,1878-5204,1.8 (2022)
2585,Reactions Weekly,,,"910,230 (2022)"
2586,Reading and Writing,0922-4777,1573-0905,2.5 (2022)
2587,Real-Time Systems,0922-6443,1573-1383,1.3 (2022)
2588,Recherche Transports Sécurité,,,
2589,Recht Innovativ,,,
2590,Rechtsmedizin,0937-9819,1434-5196,0.5 (2022)
2591,Refractories and Industrial Ceramics,1083-4877,1573-9139,0.5 (2022)
2592,Regenerative Engineering and Translational Medicine,2364-4133,2364-4141,2.6 (2022)
2593,Regenerative Medicine Research,,,
2594,Regional Environmental Change,1436-3798,1436-378X,4.2 (2022)
2595,Regional Research of Russia,2079-9705,2079-9713,"28,078 (2022)"
2596,Regional Trends,,,
2597,Regular and Chaotic Dynamics,1560-3547,1468-4845,1.4 (2022)
2598,Reliable Computing,,,
2599,Remote Sensing in Earth Systems Sciences,2520-8195,2520-8209,29 days
2600,Renal Replacement Therapy,,,
2601,Rendiconti Lincei. Scienze Fisiche e Naturali,2037-4631,1720-0776,2.0 (2022)
2602,Rendiconti del Circolo Matematico di Palermo Series 1,,,
2603,Rendiconti del Circolo Matematico di Palermo Series 2,0009-725X,1973-4409,1.0 (2022)
2604,Reproductive Biology and Endocrinology,,,
2605,Reproductive Health,,,
2606,Reproductive Medicine and Biology,,,
2607,Reproductive Sciences,,,2.9 (2022)
2608,Reproduktionsmedizin,,,
2609,Requirements Engineering,0947-3602,1432-010X,2.8 (2022)
2610,Res Publica,1356-4765,1572-8692,0.7 (2022)
2611,Research in Experimental Medicine,,,
2612,Research Integrity and Peer Review,,,
2613,Research Involvement and Engagement,,,
2614,Research and Practice in Technology Enhanced Learning,,,
2615,Research in Engineering Design,0934-9839,1435-6066,3.2 (2022)
2616,Research in Higher Education,0361-0365,1573-188X,2.1 (2022)
2617,Research in Nondestructive Evaluation,,,
2618,Research in Number Theory,,,0.8 (2022)
2619,Research in Science Education,0157-244X,1573-1898,2.3 (2022)
2620,Research in the Mathematical Sciences,2522-0144,2197-9847,1.2 (2022)
2621,Research on Biomedical Engineering,,,75 days
2622,Research on Chemical Intermediates,0922-6168,1568-5675,3.3 (2022)
